rank,id,round,score,exact,under,over,extremeUnder,extremeOver,totalOnsets,parameters
1,r007-0004-95729198,7,76,3,1,7,0,0,139,"{""relativeReattackFactor"":3.233025,""relativeReattackMinDelta"":0.019703,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.971316,""spectralNoveltyMinBins"":27,""cooldownFrames"":4,""confirmedRmsFactor"":1.235449,""confirmedRmsMinDelta"":0.003734,""confirmedFluxFactor"":1.719335,""confirmedMinFlux"":0.015141,""confirmedMinBandRatio"":0.036178,""confirmedSpectralNoveltyMinBins"":25,""cooldownOverrideFactor"":4.86345,""cooldownOverrideMinFlux"":0.0082,""cooldownOverrideMinBandRatio"":0.080929,""analyzeIntervalMs"":41}"
2,r008-0018-53130da6,8,76,3,1,7,0,0,139,"{""relativeReattackFactor"":3.206362,""relativeReattackMinDelta"":0.019043,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.873865,""spectralNoveltyMinBins"":27,""cooldownFrames"":4,""confirmedRmsFactor"":1.32233,""confirmedRmsMinDelta"":0.003798,""confirmedFluxFactor"":1.670647,""confirmedMinFlux"":0.015571,""confirmedMinBandRatio"":0.037475,""confirmedSpectralNoveltyMinBins"":25,""cooldownOverrideFactor"":5,""cooldownOverrideMinFlux"":0.009411,""cooldownOverrideMinBandRatio"":0.086117,""analyzeIntervalMs"":41}"
3,r008-0034-6f6b73e4,8,76,3,1,7,0,0,139,"{""relativeReattackFactor"":3.203003,""relativeReattackMinDelta"":0.017128,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.78283,""spectralNoveltyMinBins"":30,""cooldownFrames"":4,""confirmedRmsFactor"":1.220772,""confirmedRmsMinDelta"":0.003289,""confirmedFluxFactor"":1.590785,""confirmedMinFlux"":0.012605,""confirmedMinBandRatio"":0.034065,""confirmedSpectralNoveltyMinBins"":25,""cooldownOverrideFactor"":4.95896,""cooldownOverrideMinFlux"":0.009023,""cooldownOverrideMinBandRatio"":0.087655,""analyzeIntervalMs"":41}"
4,r008-0046-b6514620,8,76,3,1,7,0,0,139,"{""relativeReattackFactor"":3.217747,""relativeReattackMinDelta"":0.018893,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.07234,""spectralNoveltyMinBins"":29,""cooldownFrames"":4,""confirmedRmsFactor"":1.190828,""confirmedRmsMinDelta"":0.003604,""confirmedFluxFactor"":1.704838,""confirmedMinFlux"":0.015546,""confirmedMinBandRatio"":0.036737,""confirmedSpectralNoveltyMinBins"":24,""cooldownOverrideFactor"":4.983292,""cooldownOverrideMinFlux"":0.008309,""cooldownOverrideMinBandRatio"":0.08135,""analyzeIntervalMs"":41}"
5,r008-0069-bc8cd46a,8,76,3,1,7,0,0,139,"{""relativeReattackFactor"":3.146762,""relativeReattackMinDelta"":0.016462,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.081699,""spectralNoveltyMinBins"":30,""cooldownFrames"":4,""confirmedRmsFactor"":1.193795,""confirmedRmsMinDelta"":0.003075,""confirmedFluxFactor"":1.56088,""confirmedMinFlux"":0.01221,""confirmedMinBandRatio"":0.033824,""confirmedSpectralNoveltyMinBins"":24,""cooldownOverrideFactor"":4.751636,""cooldownOverrideMinFlux"":0.007584,""cooldownOverrideMinBandRatio"":0.089477,""analyzeIntervalMs"":41}"
6,r009-0004-684321ef,9,76,3,1,7,0,0,139,"{""relativeReattackFactor"":3.208631,""relativeReattackMinDelta"":0.018341,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.101131,""spectralNoveltyMinBins"":29,""cooldownFrames"":4,""confirmedRmsFactor"":1.178184,""confirmedRmsMinDelta"":0.003985,""confirmedFluxFactor"":1.696971,""confirmedMinFlux"":0.015801,""confirmedMinBandRatio"":0.035193,""confirmedSpectralNoveltyMinBins"":25,""cooldownOverrideFactor"":5,""cooldownOverrideMinFlux"":0.009019,""cooldownOverrideMinBandRatio"":0.080539,""analyzeIntervalMs"":41}"
7,r009-0020-505e85db,9,76,3,1,7,0,0,139,"{""relativeReattackFactor"":3.135349,""relativeReattackMinDelta"":0.016998,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.074332,""spectralNoveltyMinBins"":28,""cooldownFrames"":4,""confirmedRmsFactor"":1.152172,""confirmedRmsMinDelta"":0.003016,""confirmedFluxFactor"":1.594386,""confirmedMinFlux"":0.011698,""confirmedMinBandRatio"":0.032279,""confirmedSpectralNoveltyMinBins"":25,""cooldownOverrideFactor"":4.750321,""cooldownOverrideMinFlux"":0.007424,""cooldownOverrideMinBandRatio"":0.09,""analyzeIntervalMs"":41}"
8,r009-0021-10b1267f,9,76,3,1,7,0,0,139,"{""relativeReattackFactor"":3.226215,""relativeReattackMinDelta"":0.019792,""relativeFluxFactor"":1.42265,""spectralNoveltyRatio"":3.026226,""spectralNoveltyMinBins"":28,""cooldownFrames"":4,""confirmedRmsFactor"":1.245349,""confirmedRmsMinDelta"":0.003516,""confirmedFluxFactor"":1.758037,""confirmedMinFlux"":0.015403,""confirmedMinBandRatio"":0.034592,""confirmedSpectralNoveltyMinBins"":26,""cooldownOverrideFactor"":4.787906,""cooldownOverrideMinFlux"":0.008768,""cooldownOverrideMinBandRatio"":0.080893,""analyzeIntervalMs"":41}"
9,r009-0022-1e68c0f3,9,76,3,1,7,0,0,139,"{""relativeReattackFactor"":3.268597,""relativeReattackMinDelta"":0.01918,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.818197,""spectralNoveltyMinBins"":29,""cooldownFrames"":4,""confirmedRmsFactor"":1.327797,""confirmedRmsMinDelta"":0.003788,""confirmedFluxFactor"":1.66098,""confirmedMinFlux"":0.015648,""confirmedMinBandRatio"":0.037502,""confirmedSpectralNoveltyMinBins"":26,""cooldownOverrideFactor"":4.928434,""cooldownOverrideMinFlux"":0.009753,""cooldownOverrideMinBandRatio"":0.086402,""analyzeIntervalMs"":41}"
10,r009-0025-9dff86c0,9,76,3,1,7,0,0,139,"{""relativeReattackFactor"":3.188779,""relativeReattackMinDelta"":0.01723,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.9312,""spectralNoveltyMinBins"":31,""cooldownFrames"":4,""confirmedRmsFactor"":1.217268,""confirmedRmsMinDelta"":0.00309,""confirmedFluxFactor"":1.595324,""confirmedMinFlux"":0.012554,""confirmedMinBandRatio"":0.035129,""confirmedSpectralNoveltyMinBins"":24,""cooldownOverrideFactor"":4.666735,""cooldownOverrideMinFlux"":0.007173,""cooldownOverrideMinBandRatio"":0.088454,""analyzeIntervalMs"":41}"
