rank,id,round,score,exact,under,over,extremeOver,totalOnsets,parameters
1,r001-0008-8594a3ed,1,-569,2,3,20,4,138,"{""relativeReattackFactor"":1.982915,""relativeReattackMinDelta"":0.009927,""relativeFluxFactor"":3.292267,""spectralNoveltyRatio"":4.221452,""spectralNoveltyMinBins"":41,""cooldownFrames"":4,""cooldownOverrideFactor"":4.534145,""cooldownOverrideMinFlux"":0.007643,""cooldownOverrideMinBandRatio"":0.080757,""analyzeIntervalMs"":41}"
2,r001-0010-edf7f8cd,1,-664,1,7,15,4,127,"{""relativeReattackFactor"":2.378451,""relativeReattackMinDelta"":0.017319,""relativeFluxFactor"":4.641505,""spectralNoveltyRatio"":3.023315,""spectralNoveltyMinBins"":42,""cooldownFrames"":3,""cooldownOverrideFactor"":2.3834,""cooldownOverrideMinFlux"":0.016773,""cooldownOverrideMinBandRatio"":0.077378,""analyzeIntervalMs"":48}"
3,r001-0003-e833a79e,1,-677,1,1,18,5,141,"{""relativeReattackFactor"":1.917847,""relativeReattackMinDelta"":0.008386,""relativeFluxFactor"":3.027292,""spectralNoveltyRatio"":2.806922,""spectralNoveltyMinBins"":30,""cooldownFrames"":4,""cooldownOverrideFactor"":4.125274,""cooldownOverrideMinFlux"":0.008967,""cooldownOverrideMinBandRatio"":0.028571,""analyzeIntervalMs"":42}"
4,r001-0007-a6d73b3a,1,-944,2,2,23,6,143,"{""relativeReattackFactor"":1.811215,""relativeReattackMinDelta"":0.019404,""relativeFluxFactor"":3.338641,""spectralNoveltyRatio"":3.859,""spectralNoveltyMinBins"":41,""cooldownFrames"":4,""cooldownOverrideFactor"":1.97104,""cooldownOverrideMinFlux"":0.008593,""cooldownOverrideMinBandRatio"":0.038558,""analyzeIntervalMs"":46}"
5,r001-0002-2be96f28,1,-1296,2,1,24,11,149,"{""relativeReattackFactor"":3.117414,""relativeReattackMinDelta"":0.008005,""relativeFluxFactor"":3.038463,""spectralNoveltyRatio"":3.278112,""spectralNoveltyMinBins"":18,""cooldownFrames"":4,""cooldownOverrideFactor"":3.608694,""cooldownOverrideMinFlux"":0.028125,""cooldownOverrideMinBandRatio"":0.064169,""analyzeIntervalMs"":27}"
6,r001-0005-6b13a1ee,1,-1378,2,2,26,11,149,"{""relativeReattackFactor"":1.770494,""relativeReattackMinDelta"":0.009304,""relativeFluxFactor"":2.571373,""spectralNoveltyRatio"":4.063927,""spectralNoveltyMinBins"":23,""cooldownFrames"":4,""cooldownOverrideFactor"":3.220502,""cooldownOverrideMinFlux"":0.016263,""cooldownOverrideMinBandRatio"":0.080152,""analyzeIntervalMs"":49}"
7,r001-0006-a628e1d0,1,-1497,3,0,32,12,160,"{""relativeReattackFactor"":3.182394,""relativeReattackMinDelta"":0.004918,""relativeFluxFactor"":1.974671,""spectralNoveltyRatio"":2.666506,""spectralNoveltyMinBins"":13,""cooldownFrames"":2,""cooldownOverrideFactor"":2.630577,""cooldownOverrideMinFlux"":0.012545,""cooldownOverrideMinBandRatio"":0.036022,""analyzeIntervalMs"":29}"
8,r001-0001-fbff26ad,1,-2494,1,3,39,20,156,"{""relativeReattackFactor"":1.879471,""relativeReattackMinDelta"":0.00799,""relativeFluxFactor"":4.317699,""spectralNoveltyRatio"":4.39687,""spectralNoveltyMinBins"":31,""cooldownFrames"":3,""cooldownOverrideFactor"":3.485,""cooldownOverrideMinFlux"":0.018263,""cooldownOverrideMinBandRatio"":0.05808,""analyzeIntervalMs"":39}"
9,r001-0009-ca07a13e,1,-3294,1,7,40,27,150,"{""relativeReattackFactor"":2.215532,""relativeReattackMinDelta"":0.01231,""relativeFluxFactor"":4.199114,""spectralNoveltyRatio"":5.259039,""spectralNoveltyMinBins"":62,""cooldownFrames"":4,""cooldownOverrideFactor"":3.664264,""cooldownOverrideMinFlux"":0.016617,""cooldownOverrideMinBandRatio"":0.044214,""analyzeIntervalMs"":25}"
10,r001-0004-7df84684,1,-6746,2,0,91,57,221,"{""relativeReattackFactor"":1.87421,""relativeReattackMinDelta"":0.019634,""relativeFluxFactor"":2.123425,""spectralNoveltyRatio"":5.112037,""spectralNoveltyMinBins"":8,""cooldownFrames"":4,""cooldownOverrideFactor"":3.195192,""cooldownOverrideMinFlux"":0.01406,""cooldownOverrideMinBandRatio"":0.039115,""analyzeIntervalMs"":25}"
