rank,id,round,score,exact,under,over,extremeUnder,extremeOver,totalOnsets,parameters
1,r096-0021-e0d7fc4a,96,197,5,1,3,0,0,132,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.008546,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":1.5,""spectralNoveltyMinBins"":36,""cooldownFrames"":4,""confirmedRmsFactor"":1.554447,""confirmedRmsMinDelta"":0.005963,""confirmedFluxFactor"":2.070733,""confirmedMinFlux"":0.005171,""confirmedMinBandRatio"":0.018637,""confirmedSpectralNoveltyMinBins"":14,""cooldownOverrideFactor"":5,""cooldownOverrideMinFlux"":0.015508,""cooldownOverrideMinBandRatio"":0.050004,""analyzeIntervalMs"":41}"
2,r096-0048-a53db2b2,96,197,5,1,3,0,0,134,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.008879,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":1.948611,""spectralNoveltyMinBins"":33,""cooldownFrames"":4,""confirmedRmsFactor"":1.676614,""confirmedRmsMinDelta"":0.007956,""confirmedFluxFactor"":1.839714,""confirmedMinFlux"":0.005826,""confirmedMinBandRatio"":0.01278,""confirmedSpectralNoveltyMinBins"":20,""cooldownOverrideFactor"":4.161623,""cooldownOverrideMinFlux"":0.016603,""cooldownOverrideMinBandRatio"":0.052183,""analyzeIntervalMs"":41}"
3,r098-0059-a9ec545e,98,197,5,1,3,0,0,134,"{""relativeReattackFactor"":3.950369,""relativeReattackMinDelta"":0.010541,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":1.797922,""spectralNoveltyMinBins"":33,""cooldownFrames"":4,""confirmedRmsFactor"":1.465125,""confirmedRmsMinDelta"":0.008791,""confirmedFluxFactor"":2.169696,""confirmedMinFlux"":0.005858,""confirmedMinBandRatio"":0.009974,""confirmedSpectralNoveltyMinBins"":12,""cooldownOverrideFactor"":4.95134,""cooldownOverrideMinFlux"":0.019079,""cooldownOverrideMinBandRatio"":0.061002,""analyzeIntervalMs"":41}"
4,r099-0009-a8c1e668,99,197,5,1,3,0,0,133,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.00986,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.36603,""spectralNoveltyMinBins"":33,""cooldownFrames"":4,""confirmedRmsFactor"":1.478007,""confirmedRmsMinDelta"":0.002856,""confirmedFluxFactor"":2.031486,""confirmedMinFlux"":0.00693,""confirmedMinBandRatio"":0.006673,""confirmedSpectralNoveltyMinBins"":12,""cooldownOverrideFactor"":4.972322,""cooldownOverrideMinFlux"":0.01241,""cooldownOverrideMinBandRatio"":0.059922,""analyzeIntervalMs"":41}"
5,r099-0012-51d0be61,99,197,5,1,3,0,0,134,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.00948,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":1.944677,""spectralNoveltyMinBins"":33,""cooldownFrames"":4,""confirmedRmsFactor"":1.68908,""confirmedRmsMinDelta"":0.007672,""confirmedFluxFactor"":1.893292,""confirmedMinFlux"":0.006042,""confirmedMinBandRatio"":0.010592,""confirmedSpectralNoveltyMinBins"":21,""cooldownOverrideFactor"":4.319238,""cooldownOverrideMinFlux"":0.017524,""cooldownOverrideMinBandRatio"":0.052145,""analyzeIntervalMs"":41}"
6,r099-0078-4619c446,99,197,5,1,3,0,0,132,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.010034,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":1.695765,""spectralNoveltyMinBins"":36,""cooldownFrames"":4,""confirmedRmsFactor"":1.451989,""confirmedRmsMinDelta"":0.009331,""confirmedFluxFactor"":2.189563,""confirmedMinFlux"":0.006565,""confirmedMinBandRatio"":0.007034,""confirmedSpectralNoveltyMinBins"":12,""cooldownOverrideFactor"":4.930645,""cooldownOverrideMinFlux"":0.018413,""cooldownOverrideMinBandRatio"":0.0655,""analyzeIntervalMs"":41}"
7,r103-0016-d45f14ef,103,197,5,1,3,0,0,132,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.010305,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":1.5,""spectralNoveltyMinBins"":37,""cooldownFrames"":4,""confirmedRmsFactor"":1.5777,""confirmedRmsMinDelta"":0.006239,""confirmedFluxFactor"":2.012754,""confirmedMinFlux"":0.006743,""confirmedMinBandRatio"":0.023706,""confirmedSpectralNoveltyMinBins"":17,""cooldownOverrideFactor"":5,""cooldownOverrideMinFlux"":0.013128,""cooldownOverrideMinBandRatio"":0.052683,""analyzeIntervalMs"":41}"
8,r103-0071-960dc55a,103,197,5,1,3,0,0,132,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.00903,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":1.5,""spectralNoveltyMinBins"":36,""cooldownFrames"":4,""confirmedRmsFactor"":1.47845,""confirmedRmsMinDelta"":0.006406,""confirmedFluxFactor"":2.164248,""confirmedMinFlux"":0.003469,""confirmedMinBandRatio"":0.018795,""confirmedSpectralNoveltyMinBins"":14,""cooldownOverrideFactor"":4.984679,""cooldownOverrideMinFlux"":0.017785,""cooldownOverrideMinBandRatio"":0.042889,""analyzeIntervalMs"":41}"
9,r106-0066-75dc4494,106,197,5,1,3,0,0,133,"{""relativeReattackFactor"":3.90671,""relativeReattackMinDelta"":0.008955,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":1.590688,""spectralNoveltyMinBins"":35,""cooldownFrames"":4,""confirmedRmsFactor"":1.377364,""confirmedRmsMinDelta"":0.006475,""confirmedFluxFactor"":1.828425,""confirmedMinFlux"":0.006555,""confirmedMinBandRatio"":0.017975,""confirmedSpectralNoveltyMinBins"":11,""cooldownOverrideFactor"":4.697088,""cooldownOverrideMinFlux"":0.01712,""cooldownOverrideMinBandRatio"":0.04565,""analyzeIntervalMs"":41}"
10,r111-0055-42a03585,111,197,5,1,3,0,0,132,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.011092,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":1.53697,""spectralNoveltyMinBins"":36,""cooldownFrames"":4,""confirmedRmsFactor"":1.683672,""confirmedRmsMinDelta"":0.007917,""confirmedFluxFactor"":1.813588,""confirmedMinFlux"":0.005397,""confirmedMinBandRatio"":0.00987,""confirmedSpectralNoveltyMinBins"":18,""cooldownOverrideFactor"":4.446899,""cooldownOverrideMinFlux"":0.018035,""cooldownOverrideMinBandRatio"":0.044193,""analyzeIntervalMs"":41}"
