rank,id,round,score,exact,under,over,extremeUnder,extremeOver,totalOnsets,parameters
1,r003-0043-dca11af9,3,52,3,0,21,0,0,155,"{""relativeReattackFactor"":3.01079,""relativeReattackMinDelta"":0.004,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.562818,""spectralNoveltyMinBins"":17,""cooldownFrames"":3,""confirmedRmsFactor"":1.737904,""confirmedRmsMinDelta"":0.009357,""confirmedFluxFactor"":2.099025,""confirmedMinFlux"":0.004311,""confirmedMinBandRatio"":0.017226,""confirmedSpectralNoveltyMinBins"":7,""cooldownOverrideFactor"":1.8,""cooldownOverrideMinFlux"":0.024848,""cooldownOverrideMinBandRatio"":0.09,""analyzeIntervalMs"":40}"
2,r002-0026-879c8e1d,2,51,3,4,2,1,0,127,"{""relativeReattackFactor"":3.851152,""relativeReattackMinDelta"":0.01447,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.678612,""spectralNoveltyMinBins"":40,""cooldownFrames"":4,""confirmedRmsFactor"":1.15,""confirmedRmsMinDelta"":0.002029,""confirmedFluxFactor"":1.344437,""confirmedMinFlux"":0.018143,""confirmedMinBandRatio"":0.042638,""confirmedSpectralNoveltyMinBins"":24,""cooldownOverrideFactor"":4.108141,""cooldownOverrideMinFlux"":0.013141,""cooldownOverrideMinBandRatio"":0.075482,""analyzeIntervalMs"":46}"
3,r003-0078-f8600f6a,3,40,3,0,25,0,0,160,"{""relativeReattackFactor"":2.677255,""relativeReattackMinDelta"":0.00402,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.674153,""spectralNoveltyMinBins"":12,""cooldownFrames"":3,""confirmedRmsFactor"":1.852764,""confirmedRmsMinDelta"":0.006801,""confirmedFluxFactor"":1.753568,""confirmedMinFlux"":0.005586,""confirmedMinBandRatio"":0.008033,""confirmedSpectralNoveltyMinBins"":5,""cooldownOverrideFactor"":1.898277,""cooldownOverrideMinFlux"":0.021147,""cooldownOverrideMinBandRatio"":0.081139,""analyzeIntervalMs"":40}"
4,r003-0055-7fe77ed1,3,39,3,1,13,0,1,146,"{""relativeReattackFactor"":2.728687,""relativeReattackMinDelta"":0.014229,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.485063,""spectralNoveltyMinBins"":27,""cooldownFrames"":4,""confirmedRmsFactor"":1.288032,""confirmedRmsMinDelta"":0.003965,""confirmedFluxFactor"":1.831331,""confirmedMinFlux"":0.012329,""confirmedMinBandRatio"":0.025321,""confirmedSpectralNoveltyMinBins"":22,""cooldownOverrideFactor"":4.114581,""cooldownOverrideMinFlux"":0.01024,""cooldownOverrideMinBandRatio"":0.085076,""analyzeIntervalMs"":41}"
5,r002-0046-562852ff,2,21,3,3,6,1,0,132,"{""relativeReattackFactor"":3.789769,""relativeReattackMinDelta"":0.014266,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.632785,""spectralNoveltyMinBins"":27,""cooldownFrames"":4,""confirmedRmsFactor"":1.69805,""confirmedRmsMinDelta"":0.002812,""confirmedFluxFactor"":1.768695,""confirmedMinFlux"":0.018214,""confirmedMinBandRatio"":0.026883,""confirmedSpectralNoveltyMinBins"":28,""cooldownOverrideFactor"":4.019726,""cooldownOverrideMinFlux"":0.004,""cooldownOverrideMinBandRatio"":0.069453,""analyzeIntervalMs"":46}"
6,r002-0007-1f2ee0f9,2,14,3,0,25,0,1,162,"{""relativeReattackFactor"":3.031749,""relativeReattackMinDelta"":0.005737,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.185786,""spectralNoveltyMinBins"":8,""cooldownFrames"":3,""confirmedRmsFactor"":1.705479,""confirmedRmsMinDelta"":0.007867,""confirmedFluxFactor"":1.92268,""confirmedMinFlux"":0.00703,""confirmedMinBandRatio"":0.013346,""confirmedSpectralNoveltyMinBins"":5,""cooldownOverrideFactor"":1.831639,""cooldownOverrideMinFlux"":0.022324,""cooldownOverrideMinBandRatio"":0.088407,""analyzeIntervalMs"":41}"
7,r003-0042-dcb6274c,3,8,3,3,10,1,0,137,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.017912,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.355,""spectralNoveltyMinBins"":19,""cooldownFrames"":4,""confirmedRmsFactor"":1.762909,""confirmedRmsMinDelta"":0.002168,""confirmedFluxFactor"":1.672858,""confirmedMinFlux"":0.019477,""confirmedMinBandRatio"":0.024617,""confirmedSpectralNoveltyMinBins"":32,""cooldownOverrideFactor"":3.873,""cooldownOverrideMinFlux"":0.004,""cooldownOverrideMinBandRatio"":0.077806,""analyzeIntervalMs"":46}"
8,r004-0009-c29c88cd,4,6,2,1,14,0,0,146,"{""relativeReattackFactor"":2.941704,""relativeReattackMinDelta"":0.016584,""relativeFluxFactor"":1.408035,""spectralNoveltyRatio"":2.278099,""spectralNoveltyMinBins"":22,""cooldownFrames"":4,""confirmedRmsFactor"":1.342582,""confirmedRmsMinDelta"":0.004399,""confirmedFluxFactor"":1.871579,""confirmedMinFlux"":0.013214,""confirmedMinBandRatio"":0.022648,""confirmedSpectralNoveltyMinBins"":25,""cooldownOverrideFactor"":4.198437,""cooldownOverrideMinFlux"":0.008377,""cooldownOverrideMinBandRatio"":0.09,""analyzeIntervalMs"":40}"
9,r004-0006-1afd4c42,4,-11,3,0,26,0,2,163,"{""relativeReattackFactor"":2.914128,""relativeReattackMinDelta"":0.004,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.040094,""spectralNoveltyMinBins"":14,""cooldownFrames"":3,""confirmedRmsFactor"":1.804391,""confirmedRmsMinDelta"":0.009762,""confirmedFluxFactor"":2.169562,""confirmedMinFlux"":0.004512,""confirmedMinBandRatio"":0.015044,""confirmedSpectralNoveltyMinBins"":10,""cooldownOverrideFactor"":1.8,""cooldownOverrideMinFlux"":0.027291,""cooldownOverrideMinBandRatio"":0.09,""analyzeIntervalMs"":41}"
10,r004-0001-ca5bc0bd,4,-14,3,0,27,0,2,164,"{""relativeReattackFactor"":2.884309,""relativeReattackMinDelta"":0.004005,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.477055,""spectralNoveltyMinBins"":10,""cooldownFrames"":3,""confirmedRmsFactor"":1.698969,""confirmedRmsMinDelta"":0.008533,""confirmedFluxFactor"":2.118438,""confirmedMinFlux"":0.005737,""confirmedMinBandRatio"":0.022016,""confirmedSpectralNoveltyMinBins"":7,""cooldownOverrideFactor"":1.876868,""cooldownOverrideMinFlux"":0.023771,""cooldownOverrideMinBandRatio"":0.09,""analyzeIntervalMs"":41}"
