rank,id,round,score,exact,under,over,extremeUnder,extremeOver,totalOnsets,parameters
11,r003-0064-5031bfa4,3,-39,3,2,14,1,0,144,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.017506,""relativeFluxFactor"":1.927915,""spectralNoveltyRatio"":4.181251,""spectralNoveltyMinBins"":18,""cooldownFrames"":3,""confirmedRmsFactor"":1.398826,""confirmedRmsMinDelta"":0.0099,""confirmedFluxFactor"":1.535774,""confirmedMinFlux"":0.018035,""confirmedMinBandRatio"":0.040769,""confirmedSpectralNoveltyMinBins"":20,""cooldownOverrideFactor"":3.023678,""cooldownOverrideMinFlux"":0.004,""cooldownOverrideMinBandRatio"":0.03243,""analyzeIntervalMs"":28}"
12,r002-0068-35cd594d,2,-47,2,2,18,1,0,146,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.020342,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.905632,""spectralNoveltyMinBins"":27,""cooldownFrames"":3,""confirmedRmsFactor"":1.562917,""confirmedRmsMinDelta"":0.008226,""confirmedFluxFactor"":1.322833,""confirmedMinFlux"":0.019879,""confirmedMinBandRatio"":0.041013,""confirmedSpectralNoveltyMinBins"":25,""cooldownOverrideFactor"":3.096592,""cooldownOverrideMinFlux"":0.004,""cooldownOverrideMinBandRatio"":0.034738,""analyzeIntervalMs"":30}"
13,r003-0054-54fdbd0b,3,-49,2,1,25,0,1,157,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.018249,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.927695,""spectralNoveltyMinBins"":22,""cooldownFrames"":3,""confirmedRmsFactor"":1.421851,""confirmedRmsMinDelta"":0.008203,""confirmedFluxFactor"":1.107524,""confirmedMinFlux"":0.02,""confirmedMinBandRatio"":0.039553,""confirmedSpectralNoveltyMinBins"":28,""cooldownOverrideFactor"":3.201717,""cooldownOverrideMinFlux"":0.006575,""cooldownOverrideMinBandRatio"":0.034627,""analyzeIntervalMs"":31}"
14,r004-0004-1e8f5d37,4,-52,2,3,10,1,0,140,"{""relativeReattackFactor"":2.898629,""relativeReattackMinDelta"":0.013895,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.852531,""spectralNoveltyMinBins"":27,""cooldownFrames"":4,""confirmedRmsFactor"":1.229574,""confirmedRmsMinDelta"":0.00422,""confirmedFluxFactor"":1.828409,""confirmedMinFlux"":0.011339,""confirmedMinBandRatio"":0.022561,""confirmedSpectralNoveltyMinBins"":25,""cooldownOverrideFactor"":4.307569,""cooldownOverrideMinFlux"":0.009641,""cooldownOverrideMinBandRatio"":0.07976,""analyzeIntervalMs"":40}"
15,r003-0037-c02ff577,3,-84,3,4,10,2,1,138,"{""relativeReattackFactor"":3.915367,""relativeReattackMinDelta"":0.011947,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.88499,""spectralNoveltyMinBins"":27,""cooldownFrames"":4,""confirmedRmsFactor"":1.593389,""confirmedRmsMinDelta"":0.002273,""confirmedFluxFactor"":1.610472,""confirmedMinFlux"":0.019811,""confirmedMinBandRatio"":0.03419,""confirmedSpectralNoveltyMinBins"":24,""cooldownOverrideFactor"":4.442446,""cooldownOverrideMinFlux"":0.004,""cooldownOverrideMinBandRatio"":0.059991,""analyzeIntervalMs"":42}"
16,r003-0023-b39d4bb6,3,-90,3,0,26,0,2,163,"{""relativeReattackFactor"":3.224861,""relativeReattackMinDelta"":0.004,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.111884,""spectralNoveltyMinBins"":7,""cooldownFrames"":3,""confirmedRmsFactor"":1.658128,""confirmedRmsMinDelta"":0.009519,""confirmedFluxFactor"":1.961019,""confirmedMinFlux"":0.008875,""confirmedMinBandRatio"":0.017137,""confirmedSpectralNoveltyMinBins"":3,""cooldownOverrideFactor"":1.876789,""cooldownOverrideMinFlux"":0.024798,""cooldownOverrideMinBandRatio"":0.086061,""analyzeIntervalMs"":41}"
17,r003-0046-0dcf920a,3,-96,3,4,10,2,0,137,"{""relativeReattackFactor"":3.607216,""relativeReattackMinDelta"":0.012318,""relativeFluxFactor"":1.522561,""spectralNoveltyRatio"":2.587896,""spectralNoveltyMinBins"":30,""cooldownFrames"":4,""confirmedRmsFactor"":1.208142,""confirmedRmsMinDelta"":0.002,""confirmedFluxFactor"":1.267285,""confirmedMinFlux"":0.017869,""confirmedMinBandRatio"":0.036386,""confirmedSpectralNoveltyMinBins"":25,""cooldownOverrideFactor"":3.747792,""cooldownOverrideMinFlux"":0.013647,""cooldownOverrideMinBandRatio"":0.073699,""analyzeIntervalMs"":43}"
18,r004-0005-c6f3b23d,4,-112,3,4,9,2,0,136,"{""relativeReattackFactor"":3.900297,""relativeReattackMinDelta"":0.01246,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.265935,""spectralNoveltyMinBins"":24,""cooldownFrames"":4,""confirmedRmsFactor"":1.754065,""confirmedRmsMinDelta"":0.002823,""confirmedFluxFactor"":1.790215,""confirmedMinFlux"":0.018616,""confirmedMinBandRatio"":0.03174,""confirmedSpectralNoveltyMinBins"":25,""cooldownOverrideFactor"":4.281374,""cooldownOverrideMinFlux"":0.004,""cooldownOverrideMinBandRatio"":0.073978,""analyzeIntervalMs"":45}"
19,r003-0074-cdc96717,3,-117,1,3,21,1,0,150,"{""relativeReattackFactor"":3.963597,""relativeReattackMinDelta"":0.021105,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.494713,""spectralNoveltyMinBins"":28,""cooldownFrames"":3,""confirmedRmsFactor"":1.555738,""confirmedRmsMinDelta"":0.006935,""confirmedFluxFactor"":1.236865,""confirmedMinFlux"":0.018441,""confirmedMinBandRatio"":0.035221,""confirmedSpectralNoveltyMinBins"":30,""cooldownOverrideFactor"":3.417745,""cooldownOverrideMinFlux"":0.004,""cooldownOverrideMinBandRatio"":0.023041,""analyzeIntervalMs"":31}"
20,r004-0008-32943e10,4,-123,2,2,20,1,1,153,"{""relativeReattackFactor"":2.626749,""relativeReattackMinDelta"":0.004,""relativeFluxFactor"":1.504553,""spectralNoveltyRatio"":5.134882,""spectralNoveltyMinBins"":18,""cooldownFrames"":3,""confirmedRmsFactor"":1.759929,""confirmedRmsMinDelta"":0.006693,""confirmedFluxFactor"":1.642131,""confirmedMinFlux"":0.004828,""confirmedMinBandRatio"":0.006,""confirmedSpectralNoveltyMinBins"":4,""cooldownOverrideFactor"":1.8,""cooldownOverrideMinFlux"":0.021645,""cooldownOverrideMinBandRatio"":0.086464,""analyzeIntervalMs"":41}"
21,r001-0005-6aae5737,1,-128,3,3,13,2,0,145,"{""relativeReattackFactor"":2.956383,""relativeReattackMinDelta"":0.015977,""relativeFluxFactor"":1.59242,""spectralNoveltyRatio"":2.294907,""spectralNoveltyMinBins"":21,""cooldownFrames"":4,""confirmedRmsFactor"":1.385408,""confirmedRmsMinDelta"":0.004822,""confirmedFluxFactor"":1.735882,""confirmedMinFlux"":0.013281,""confirmedMinBandRatio"":0.032356,""confirmedSpectralNoveltyMinBins"":24,""cooldownOverrideFactor"":4.534145,""cooldownOverrideMinFlux"":0.007643,""cooldownOverrideMinBandRatio"":0.080757,""analyzeIntervalMs"":41}"
22,r003-0010-4fcc7462,3,-141,1,3,12,1,1,141,"{""relativeReattackFactor"":3.32811,""relativeReattackMinDelta"":0.016982,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.750311,""spectralNoveltyMinBins"":21,""cooldownFrames"":4,""confirmedRmsFactor"":1.237029,""confirmedRmsMinDelta"":0.005586,""confirmedFluxFactor"":1.685725,""confirmedMinFlux"":0.010918,""confirmedMinBandRatio"":0.036583,""confirmedSpectralNoveltyMinBins"":19,""cooldownOverrideFactor"":4.118291,""cooldownOverrideMinFlux"":0.009416,""cooldownOverrideMinBandRatio"":0.084755,""analyzeIntervalMs"":42}"
23,r003-0001-a6c79f57,3,-149,2,4,5,2,0,129,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.015303,""relativeFluxFactor"":1.426859,""spectralNoveltyRatio"":2.657891,""spectralNoveltyMinBins"":36,""cooldownFrames"":4,""confirmedRmsFactor"":1.15,""confirmedRmsMinDelta"":0.002,""confirmedFluxFactor"":1.130914,""confirmedMinFlux"":0.019465,""confirmedMinBandRatio"":0.040911,""confirmedSpectralNoveltyMinBins"":25,""cooldownOverrideFactor"":3.656777,""cooldownOverrideMinFlux"":0.009303,""cooldownOverrideMinBandRatio"":0.06997,""analyzeIntervalMs"":50}"
24,r002-0078-ab6b29ac,2,-150,2,2,21,1,2,153,"{""relativeReattackFactor"":2.921234,""relativeReattackMinDelta"":0.022152,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.479553,""spectralNoveltyMinBins"":12,""cooldownFrames"":3,""confirmedRmsFactor"":1.598866,""confirmedRmsMinDelta"":0.002294,""confirmedFluxFactor"":1.364862,""confirmedMinFlux"":0.013977,""confirmedMinBandRatio"":0.033809,""confirmedSpectralNoveltyMinBins"":32,""cooldownOverrideFactor"":4.91476,""cooldownOverrideMinFlux"":0.004,""cooldownOverrideMinBandRatio"":0.038538,""analyzeIntervalMs"":42}"
25,r003-0019-fa7573ad,3,-154,2,2,20,1,1,149,"{""relativeReattackFactor"":3.577161,""relativeReattackMinDelta"":0.017357,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.185277,""spectralNoveltyMinBins"":25,""cooldownFrames"":3,""confirmedRmsFactor"":1.552963,""confirmedRmsMinDelta"":0.008348,""confirmedFluxFactor"":1.177808,""confirmedMinFlux"":0.02,""confirmedMinBandRatio"":0.043216,""confirmedSpectralNoveltyMinBins"":26,""cooldownOverrideFactor"":3.2373,""cooldownOverrideMinFlux"":0.004,""cooldownOverrideMinBandRatio"":0.04648,""analyzeIntervalMs"":30}"
26,r003-0002-26bb2c0b,3,-157,4,4,14,3,0,142,"{""relativeReattackFactor"":3.436008,""relativeReattackMinDelta"":0.011574,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.581146,""spectralNoveltyMinBins"":25,""cooldownFrames"":4,""confirmedRmsFactor"":1.868547,""confirmedRmsMinDelta"":0.002,""confirmedFluxFactor"":1.732062,""confirmedMinFlux"":0.016857,""confirmedMinBandRatio"":0.03434,""confirmedSpectralNoveltyMinBins"":32,""cooldownOverrideFactor"":4.38937,""cooldownOverrideMinFlux"":0.004,""cooldownOverrideMinBandRatio"":0.075777,""analyzeIntervalMs"":48}"
27,r003-0032-0b56d35c,3,-157,4,4,14,3,0,141,"{""relativeReattackFactor"":3.701368,""relativeReattackMinDelta"":0.01583,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.979067,""spectralNoveltyMinBins"":27,""cooldownFrames"":4,""confirmedRmsFactor"":1.548257,""confirmedRmsMinDelta"":0.003436,""confirmedFluxFactor"":1.598415,""confirmedMinFlux"":0.017252,""confirmedMinBandRatio"":0.02623,""confirmedSpectralNoveltyMinBins"":24,""cooldownOverrideFactor"":4.305791,""cooldownOverrideMinFlux"":0.006714,""cooldownOverrideMinBandRatio"":0.067059,""analyzeIntervalMs"":48}"
28,r003-0024-cca5ddc1,3,-160,2,1,29,0,3,161,"{""relativeReattackFactor"":3.902848,""relativeReattackMinDelta"":0.020327,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.696423,""spectralNoveltyMinBins"":18,""cooldownFrames"":3,""confirmedRmsFactor"":1.498579,""confirmedRmsMinDelta"":0.009938,""confirmedFluxFactor"":1.183241,""confirmedMinFlux"":0.02,""confirmedMinBandRatio"":0.041298,""confirmedSpectralNoveltyMinBins"":25,""cooldownOverrideFactor"":3.398135,""cooldownOverrideMinFlux"":0.005548,""cooldownOverrideMinBandRatio"":0.026787,""analyzeIntervalMs"":31}"
29,r003-0068-18795518,3,-174,2,2,21,1,3,152,"{""relativeReattackFactor"":3.279529,""relativeReattackMinDelta"":0.008924,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.584981,""spectralNoveltyMinBins"":6,""cooldownFrames"":3,""confirmedRmsFactor"":1.732399,""confirmedRmsMinDelta"":0.009155,""confirmedFluxFactor"":1.973437,""confirmedMinFlux"":0.009413,""confirmedMinBandRatio"":0.006922,""confirmedSpectralNoveltyMinBins"":8,""cooldownOverrideFactor"":1.8,""cooldownOverrideMinFlux"":0.026518,""cooldownOverrideMinBandRatio"":0.089784,""analyzeIntervalMs"":42}"
30,r002-0077-2796a9bf,2,-190,4,7,5,5,0,128,"{""relativeReattackFactor"":3.122468,""relativeReattackMinDelta"":0.017308,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.923733,""spectralNoveltyMinBins"":45,""cooldownFrames"":3,""confirmedRmsFactor"":1.657744,""confirmedRmsMinDelta"":0.005479,""confirmedFluxFactor"":2.215235,""confirmedMinFlux"":0.00892,""confirmedMinBandRatio"":0.023281,""confirmedSpectralNoveltyMinBins"":14,""cooldownOverrideFactor"":1.8,""cooldownOverrideMinFlux"":0.029392,""cooldownOverrideMinBandRatio"":0.079865,""analyzeIntervalMs"":41}"
31,r003-0004-96321ff5,3,-194,2,5,9,3,0,133,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.022847,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.371671,""spectralNoveltyMinBins"":28,""cooldownFrames"":3,""confirmedRmsFactor"":1.517191,""confirmedRmsMinDelta"":0.008788,""confirmedFluxFactor"":1.512771,""confirmedMinFlux"":0.018215,""confirmedMinBandRatio"":0.036466,""confirmedSpectralNoveltyMinBins"":30,""cooldownOverrideFactor"":2.904117,""cooldownOverrideMinFlux"":0.004,""cooldownOverrideMinBandRatio"":0.024895,""analyzeIntervalMs"":28}"
32,r003-0072-753b8056,3,-196,3,5,12,3,0,138,"{""relativeReattackFactor"":3.593346,""relativeReattackMinDelta"":0.017164,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.086927,""spectralNoveltyMinBins"":29,""cooldownFrames"":4,""confirmedRmsFactor"":1.642557,""confirmedRmsMinDelta"":0.002,""confirmedFluxFactor"":1.764656,""confirmedMinFlux"":0.02,""confirmedMinBandRatio"":0.02476,""confirmedSpectralNoveltyMinBins"":29,""cooldownOverrideFactor"":4.325929,""cooldownOverrideMinFlux"":0.004,""cooldownOverrideMinBandRatio"":0.072301,""analyzeIntervalMs"":48}"
33,r003-0013-d1ca8bf0,3,-197,2,3,19,2,0,148,"{""relativeReattackFactor"":3.326039,""relativeReattackMinDelta"":0.007463,""relativeFluxFactor"":1.400402,""spectralNoveltyRatio"":3.582993,""spectralNoveltyMinBins"":16,""cooldownFrames"":3,""confirmedRmsFactor"":1.78854,""confirmedRmsMinDelta"":0.007453,""confirmedFluxFactor"":2.122836,""confirmedMinFlux"":0.007249,""confirmedMinBandRatio"":0.006805,""confirmedSpectralNoveltyMinBins"":7,""cooldownOverrideFactor"":2.071909,""cooldownOverrideMinFlux"":0.019201,""cooldownOverrideMinBandRatio"":0.079125,""analyzeIntervalMs"":45}"
34,r002-0067-c862b8e8,2,-199,2,3,20,2,0,149,"{""relativeReattackFactor"":3.74655,""relativeReattackMinDelta"":0.010471,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.877073,""spectralNoveltyMinBins"":19,""cooldownFrames"":3,""confirmedRmsFactor"":2.173395,""confirmedRmsMinDelta"":0.005531,""confirmedFluxFactor"":2.271076,""confirmedMinFlux"":0.003429,""confirmedMinBandRatio"":0.020626,""confirmedSpectralNoveltyMinBins"":6,""cooldownOverrideFactor"":1.8,""cooldownOverrideMinFlux"":0.014098,""cooldownOverrideMinBandRatio"":0.08932,""analyzeIntervalMs"":50}"
35,r003-0052-a82d7ad8,3,-202,1,4,8,2,0,136,"{""relativeReattackFactor"":3.736249,""relativeReattackMinDelta"":0.017622,""relativeFluxFactor"":1.442992,""spectralNoveltyRatio"":3.688143,""spectralNoveltyMinBins"":22,""cooldownFrames"":4,""confirmedRmsFactor"":1.87717,""confirmedRmsMinDelta"":0.002,""confirmedFluxFactor"":1.787571,""confirmedMinFlux"":0.019543,""confirmedMinBandRatio"":0.029022,""confirmedSpectralNoveltyMinBins"":25,""cooldownOverrideFactor"":4.342121,""cooldownOverrideMinFlux"":0.004,""cooldownOverrideMinBandRatio"":0.065293,""analyzeIntervalMs"":50}"
36,r003-0060-7511260c,3,-203,1,4,12,2,1,140,"{""relativeReattackFactor"":3.151832,""relativeReattackMinDelta"":0.015421,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.324373,""spectralNoveltyMinBins"":26,""cooldownFrames"":4,""confirmedRmsFactor"":1.401187,""confirmedRmsMinDelta"":0.005647,""confirmedFluxFactor"":1.777159,""confirmedMinFlux"":0.013066,""confirmedMinBandRatio"":0.037281,""confirmedSpectralNoveltyMinBins"":20,""cooldownOverrideFactor"":5,""cooldownOverrideMinFlux"":0.011254,""cooldownOverrideMinBandRatio"":0.072321,""analyzeIntervalMs"":42}"
37,r004-0002-215de157,4,-205,5,8,0,5,0,119,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.016023,""relativeFluxFactor"":1.626732,""spectralNoveltyRatio"":2.749896,""spectralNoveltyMinBins"":44,""cooldownFrames"":4,""confirmedRmsFactor"":1.166889,""confirmedRmsMinDelta"":0.002,""confirmedFluxFactor"":1.24051,""confirmedMinFlux"":0.019336,""confirmedMinBandRatio"":0.042763,""confirmedSpectralNoveltyMinBins"":27,""cooldownOverrideFactor"":4.368974,""cooldownOverrideMinFlux"":0.01406,""cooldownOverrideMinBandRatio"":0.081081,""analyzeIntervalMs"":46}"
38,r002-0051-ff48fd62,2,-209,2,2,31,1,3,163,"{""relativeReattackFactor"":2.288537,""relativeReattackMinDelta"":0.021353,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":1.568946,""spectralNoveltyMinBins"":26,""cooldownFrames"":4,""confirmedRmsFactor"":1.591505,""confirmedRmsMinDelta"":0.004635,""confirmedFluxFactor"":1.725386,""confirmedMinFlux"":0.007748,""confirmedMinBandRatio"":0.0411,""confirmedSpectralNoveltyMinBins"":28,""cooldownOverrideFactor"":5,""cooldownOverrideMinFlux"":0.014165,""cooldownOverrideMinBandRatio"":0.089934,""analyzeIntervalMs"":35}"
39,r003-0075-ede341d1,3,-215,3,4,11,3,1,139,"{""relativeReattackFactor"":2.974927,""relativeReattackMinDelta"":0.015571,""relativeFluxFactor"":1.755455,""spectralNoveltyRatio"":2.383555,""spectralNoveltyMinBins"":16,""cooldownFrames"":4,""confirmedRmsFactor"":1.530037,""confirmedRmsMinDelta"":0.003781,""confirmedFluxFactor"":1.66714,""confirmedMinFlux"":0.013611,""confirmedMinBandRatio"":0.027575,""confirmedSpectralNoveltyMinBins"":25,""cooldownOverrideFactor"":4.962634,""cooldownOverrideMinFlux"":0.009797,""cooldownOverrideMinBandRatio"":0.084895,""analyzeIntervalMs"":42}"
40,r003-0062-01b1a266,3,-222,3,6,5,4,0,129,"{""relativeReattackFactor"":3.965788,""relativeReattackMinDelta"":0.011286,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.202916,""spectralNoveltyMinBins"":31,""cooldownFrames"":4,""confirmedRmsFactor"":1.60804,""confirmedRmsMinDelta"":0.002,""confirmedFluxFactor"":1.987284,""confirmedMinFlux"":0.015337,""confirmedMinBandRatio"":0.025008,""confirmedSpectralNoveltyMinBins"":32,""cooldownOverrideFactor"":3.636446,""cooldownOverrideMinFlux"":0.00759,""cooldownOverrideMinBandRatio"":0.063655,""analyzeIntervalMs"":49}"
41,r004-0007-93977198,4,-222,4,7,6,5,0,128,"{""relativeReattackFactor"":3.868048,""relativeReattackMinDelta"":0.013371,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.381651,""spectralNoveltyMinBins"":41,""cooldownFrames"":4,""confirmedRmsFactor"":1.15,""confirmedRmsMinDelta"":0.002798,""confirmedFluxFactor"":1.36001,""confirmedMinFlux"":0.019312,""confirmedMinBandRatio"":0.040697,""confirmedSpectralNoveltyMinBins"":23,""cooldownOverrideFactor"":4.064185,""cooldownOverrideMinFlux"":0.015208,""cooldownOverrideMinBandRatio"":0.08259,""analyzeIntervalMs"":45}"
42,r002-0011-ce6959e0,2,-234,1,4,18,2,0,146,"{""relativeReattackFactor"":2.683789,""relativeReattackMinDelta"":0.014984,""relativeFluxFactor"":1.824942,""spectralNoveltyRatio"":1.5,""spectralNoveltyMinBins"":28,""cooldownFrames"":4,""confirmedRmsFactor"":1.198861,""confirmedRmsMinDelta"":0.006115,""confirmedFluxFactor"":1.248613,""confirmedMinFlux"":0.007923,""confirmedMinBandRatio"":0.017238,""confirmedSpectralNoveltyMinBins"":31,""cooldownOverrideFactor"":4.787253,""cooldownOverrideMinFlux"":0.013677,""cooldownOverrideMinBandRatio"":0.064157,""analyzeIntervalMs"":37}"
