rank,id,round,score,exact,under,over,extremeUnder,extremeOver,totalOnsets,parameters
1,r001-0005-6aae5737,1,-128,3,3,13,2,0,145,"{""relativeReattackFactor"":2.956383,""relativeReattackMinDelta"":0.015977,""relativeFluxFactor"":1.59242,""spectralNoveltyRatio"":2.294907,""spectralNoveltyMinBins"":21,""cooldownFrames"":4,""confirmedRmsFactor"":1.385408,""confirmedRmsMinDelta"":0.004822,""confirmedFluxFactor"":1.735882,""confirmedMinFlux"":0.013281,""confirmedMinBandRatio"":0.032356,""confirmedSpectralNoveltyMinBins"":24,""cooldownOverrideFactor"":4.534145,""cooldownOverrideMinFlux"":0.007643,""cooldownOverrideMinBandRatio"":0.080757,""analyzeIntervalMs"":41}"
2,r001-0003-4ea4be3c,1,-625,1,4,32,2,6,161,"{""relativeReattackFactor"":1.922474,""relativeReattackMinDelta"":0.020856,""relativeFluxFactor"":1.523229,""spectralNoveltyRatio"":4.03914,""spectralNoveltyMinBins"":31,""cooldownFrames"":3,""confirmedRmsFactor"":1.436726,""confirmedRmsMinDelta"":0.002106,""confirmedFluxFactor"":1.199497,""confirmedMinFlux"":0.007293,""confirmedMinBandRatio"":0.020317,""confirmedSpectralNoveltyMinBins"":19,""cooldownOverrideFactor"":2.73702,""cooldownOverrideMinFlux"":0.018848,""cooldownOverrideMinBandRatio"":0.051073,""analyzeIntervalMs"":37}"
3,r001-0001-ba12f547,1,-626,1,8,23,6,0,147,"{""relativeReattackFactor"":1.879471,""relativeReattackMinDelta"":0.00799,""relativeFluxFactor"":4.317699,""spectralNoveltyRatio"":4.39687,""spectralNoveltyMinBins"":31,""cooldownFrames"":3,""confirmedRmsFactor"":1.702891,""confirmedRmsMinDelta"":0.007486,""confirmedFluxFactor"":1.761607,""confirmedMinFlux"":0.012242,""confirmedMinBandRatio"":0.035064,""confirmedSpectralNoveltyMinBins"":8,""cooldownOverrideFactor"":3.256412,""cooldownOverrideMinFlux"":0.014274,""cooldownOverrideMinBandRatio"":0.034175,""analyzeIntervalMs"":45}"
4,r001-0004-cd145d9d,1,-816,2,11,20,9,1,141,"{""relativeReattackFactor"":3.634212,""relativeReattackMinDelta"":0.024104,""relativeFluxFactor"":3.86793,""spectralNoveltyRatio"":1.696697,""spectralNoveltyMinBins"":15,""cooldownFrames"":3,""confirmedRmsFactor"":1.282721,""confirmedRmsMinDelta"":0.003303,""confirmedFluxFactor"":1.363377,""confirmedMinFlux"":0.008587,""confirmedMinBandRatio"":0.016071,""confirmedSpectralNoveltyMinBins"":7,""cooldownOverrideFactor"":2.306111,""cooldownOverrideMinFlux"":0.023072,""cooldownOverrideMinBandRatio"":0.057696,""analyzeIntervalMs"":38}"
5,r001-0002-98ba9e20,1,-1033,1,14,14,12,0,132,"{""relativeReattackFactor"":2.869564,""relativeReattackMinDelta"":0.023486,""relativeFluxFactor"":3.671531,""spectralNoveltyRatio"":1.88474,""spectralNoveltyMinBins"":18,""cooldownFrames"":2,""confirmedRmsFactor"":1.624627,""confirmedRmsMinDelta"":0.004904,""confirmedFluxFactor"":1.576559,""confirmedMinFlux"":0.015438,""confirmedMinBandRatio"":0.037973,""confirmedSpectralNoveltyMinBins"":8,""cooldownOverrideFactor"":2.191806,""cooldownOverrideMinFlux"":0.021525,""cooldownOverrideMinBandRatio"":0.032767,""analyzeIntervalMs"":44}"
