rank,id,round,score,exact,under,over,extremeUnder,extremeOver,totalOnsets,parameters
1,r059-0021-261926d9,59,197,5,1,3,0,0,132,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.012309,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":1.5,""spectralNoveltyMinBins"":36,""cooldownFrames"":4,""confirmedRmsFactor"":2.106988,""confirmedRmsMinDelta"":0.0104,""confirmedFluxFactor"":1.540554,""confirmedMinFlux"":0.00601,""confirmedMinBandRatio"":0.012851,""confirmedSpectralNoveltyMinBins"":25,""cooldownOverrideFactor"":1.960766,""cooldownOverrideMinFlux"":0.024916,""cooldownOverrideMinBandRatio"":0.083788,""analyzeIntervalMs"":41}"
2,r064-0023-fbcc6b8d,64,197,5,1,3,0,0,132,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.013027,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":1.5,""spectralNoveltyMinBins"":36,""cooldownFrames"":4,""confirmedRmsFactor"":2.110323,""confirmedRmsMinDelta"":0.009299,""confirmedFluxFactor"":1.749154,""confirmedMinFlux"":0.005026,""confirmedMinBandRatio"":0.008174,""confirmedSpectralNoveltyMinBins"":28,""cooldownOverrideFactor"":2.643652,""cooldownOverrideMinFlux"":0.022942,""cooldownOverrideMinBandRatio"":0.08546,""analyzeIntervalMs"":41}"
3,r065-0035-8562dfac,65,197,5,1,3,0,0,133,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.011151,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":1.751513,""spectralNoveltyMinBins"":35,""cooldownFrames"":4,""confirmedRmsFactor"":2.175141,""confirmedRmsMinDelta"":0.00978,""confirmedFluxFactor"":1.761766,""confirmedMinFlux"":0.005331,""confirmedMinBandRatio"":0.011808,""confirmedSpectralNoveltyMinBins"":29,""cooldownOverrideFactor"":2.181847,""cooldownOverrideMinFlux"":0.021519,""cooldownOverrideMinBandRatio"":0.089143,""analyzeIntervalMs"":41}"
4,r065-0042-ad02d733,65,197,5,1,3,0,0,132,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.012516,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":1.5,""spectralNoveltyMinBins"":36,""cooldownFrames"":4,""confirmedRmsFactor"":2.11848,""confirmedRmsMinDelta"":0.008668,""confirmedFluxFactor"":1.779957,""confirmedMinFlux"":0.00487,""confirmedMinBandRatio"":0.010099,""confirmedSpectralNoveltyMinBins"":28,""cooldownOverrideFactor"":2.709132,""cooldownOverrideMinFlux"":0.021388,""cooldownOverrideMinBandRatio"":0.082264,""analyzeIntervalMs"":41}"
5,r065-0070-ab21199c,65,197,5,1,3,0,0,132,"{""relativeReattackFactor"":3.949914,""relativeReattackMinDelta"":0.013458,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":1.56872,""spectralNoveltyMinBins"":37,""cooldownFrames"":4,""confirmedRmsFactor"":2.09627,""confirmedRmsMinDelta"":0.009982,""confirmedFluxFactor"":1.783199,""confirmedMinFlux"":0.003946,""confirmedMinBandRatio"":0.013797,""confirmedSpectralNoveltyMinBins"":25,""cooldownOverrideFactor"":2.112419,""cooldownOverrideMinFlux"":0.022988,""cooldownOverrideMinBandRatio"":0.085274,""analyzeIntervalMs"":41}"
6,r067-0062-16849542,67,197,5,1,3,0,0,132,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.020209,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":1.5,""spectralNoveltyMinBins"":37,""cooldownFrames"":4,""confirmedRmsFactor"":2.034175,""confirmedRmsMinDelta"":0.009981,""confirmedFluxFactor"":1.498453,""confirmedMinFlux"":0.003,""confirmedMinBandRatio"":0.020325,""confirmedSpectralNoveltyMinBins"":32,""cooldownOverrideFactor"":2.640613,""cooldownOverrideMinFlux"":0.029691,""cooldownOverrideMinBandRatio"":0.09,""analyzeIntervalMs"":41}"
7,r068-0033-b18c6d37,68,197,5,1,3,0,0,134,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.010024,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.141813,""spectralNoveltyMinBins"":33,""cooldownFrames"":4,""confirmedRmsFactor"":2.193768,""confirmedRmsMinDelta"":0.010377,""confirmedFluxFactor"":2.001199,""confirmedMinFlux"":0.007907,""confirmedMinBandRatio"":0.018604,""confirmedSpectralNoveltyMinBins"":32,""cooldownOverrideFactor"":2.280408,""cooldownOverrideMinFlux"":0.024578,""cooldownOverrideMinBandRatio"":0.09,""analyzeIntervalMs"":41}"
8,r069-0078-2ca8b8fc,69,197,5,1,3,0,0,132,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.008916,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":1.581158,""spectralNoveltyMinBins"":37,""cooldownFrames"":4,""confirmedRmsFactor"":2.2,""confirmedRmsMinDelta"":0.008729,""confirmedFluxFactor"":1.889959,""confirmedMinFlux"":0.004581,""confirmedMinBandRatio"":0.015619,""confirmedSpectralNoveltyMinBins"":28,""cooldownOverrideFactor"":2.232571,""cooldownOverrideMinFlux"":0.022366,""cooldownOverrideMinBandRatio"":0.09,""analyzeIntervalMs"":41}"
9,r073-0008-dbf5b824,73,197,5,1,3,0,0,134,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.00914,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":1.984369,""spectralNoveltyMinBins"":33,""cooldownFrames"":4,""confirmedRmsFactor"":2.186476,""confirmedRmsMinDelta"":0.01118,""confirmedFluxFactor"":1.628736,""confirmedMinFlux"":0.005332,""confirmedMinBandRatio"":0.018043,""confirmedSpectralNoveltyMinBins"":26,""cooldownOverrideFactor"":2.16458,""cooldownOverrideMinFlux"":0.023359,""cooldownOverrideMinBandRatio"":0.07707,""analyzeIntervalMs"":41}"
10,r074-0004-c5b6a7fe,74,197,5,1,3,0,0,132,"{""relativeReattackFactor"":4,""relativeReattackMinDelta"":0.012419,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":1.859067,""spectralNoveltyMinBins"":36,""cooldownFrames"":4,""confirmedRmsFactor"":2.151394,""confirmedRmsMinDelta"":0.007708,""confirmedFluxFactor"":1.781165,""confirmedMinFlux"":0.006495,""confirmedMinBandRatio"":0.00921,""confirmedSpectralNoveltyMinBins"":30,""cooldownOverrideFactor"":2.464687,""cooldownOverrideMinFlux"":0.019279,""cooldownOverrideMinBandRatio"":0.08402,""analyzeIntervalMs"":41}"
